t,x,y,z
0.593,3.14825,-0.809017,7.7337
0.594,3.1485,-0.951057,7.74201
0.595,3.14875,-1,7.75031
0.596,3.149,-0.951057,7.75863
0.597,3.14925,-0.809017,7.76696
0.598,3.1495,-0.587785,7.7753
0.599,3.14975,-0.309017,7.78364
0.6,3.15,1.2055e-13,7.792
0.601,3.15025,0.309017,7.80036
0.602,3.1505,0.587785,7.80874
0.603,3.15075,0.809017,7.81712
0.604,3.151,0.951057,7.82551
0.605,3.15125,1,7.83392
0.606,3.1515,0.951057,7.84233
0.607,3.15175,0.809017,7.85075
0.608,3.152,0.587785,7.85918
0.609,3.15225,0.309017,7.86761
0.61,3.1525,-1.38191e-13,7.87606
0.611,3.15275,-0.309017,7.88452
0.612,3.153,-0.587785,7.89299
0.613,3.15325,-0.809017,7.90146
0.614,3.1535,-0.951057,7.90995
0.615,3.15375,-1,7.91844
0.616,3.154,-0.951057,7.92695
0.617,3.15425,-0.809017,7.93546
0.618,3.1545,-0.587785,7.94398
0.619,3.15475,-0.309017,7.95251
0.62,3.155,1.2741e-13,7.96106
0.621,3.15525,0.309017,7.96961
0.622,3.1555,0.587785,7.97817
0.623,3.15575,0.809017,7.98674
0.624,3.156,0.951057,7.99532
0.625,3.15625,1,8.00391
0.626,3.1565,0.951057,8.0125
0.627,3.15675,0.809017,8.02111
0.628,3.157,0.587785,8.02973
0.629,3.15725,0.309017,8.03836
0.63,3.1575,-1.45051e-13,8.04699
0.631,3.15775,-0.309017,8.05564
0.632,3.158,-0.587785,8.0643
0.633,3.15825,-0.809017,8.07296
0.634,3.1585,-0.951057,8.08164
0.635,3.15875,-1,8.09032
0.636,3.159,-0.951057,8.09901
0.637,3.15925,-0.809017,8.10772
0.638,3.1595,-0.587785,8.11643
0.639,3.15975,-0.309017,8.12516
0.64,3.16,1.34271e-13,8.13389
0.641,3.16025,0.309017,8.14263
0.642,3.1605,0.587785,8.15138
0.643,3.16075,0.809017,8.16014
0.644,3.161,0.951057,8.16892
0.645,3.16125,1,8.1777
0.646,3.1615,0.951057,8.18649
0.647,3.16175,0.809017,8.19529
0.648,3.162,0.587785,8.2041
0.649,3.16225,0.309017,8.21292
0.65,3.1625,-1.51912e-13,8.22175
0.651,3.16275,-0.309017,8.23059
0.652,3.163,-0.587785,8.23944
0.653,3.16325,-0.809017,8.2483
